Kreis;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019
Deggendorf, Landkreis;116596;117601;118741;119326;119478
Wartburgkreis;125655;124729;123764;123025;118974
Uckermark, Landkreis;121014;120878;120349;119552;118947
Freudenstadt, Landkreis;116233;116692;117456;117935;118243
Fürth, Landkreis;114291;115971;116193;117387;117853
Bottrop;117143;117409;117364;117383;117565
Forchheim, Landkreis;114834;115259;115681;116099;116203
Mühldorf am Inn, Landkreis;112034;113222;114486;115250;115872
Schweinfurt, Landkreis;114813;114823;115105;115106;115445
Koblenz;112586;113605;113844;114024;114052
Osterholz, Landkreis;113579;112695;113105;113517;113928
Spree-Neiße, Landkreis;117635;116826;115456;114429;113720
Bremerhaven;114025;113034;113026;113634;113643
Hohenlohekreis;110181;110689;111392;112010;112655
Erlangen;108336;110238;110998;111962;112528
Bernkastel-Wittlich, Landkreis;111828;112006;112134;112262;112483
Trier;114914;110111;110013;110636;111528
Altötting, Landkreis;108485;109422;110338;111210;111516
Jena;109527;110321;111099;111407;111343
Remscheid;109499;110611;110584;110994;111338
Stendal, Landkreis;115262;114393;113186;111982;111190
Südliche Weinstraße, Landkreis;110526;110885;110622;110356;110521
Oberspreewald-Lausitz, Landkreis;112450;111962;111122;110476;109371
Ilm-Kreis;109620;109167;108830;108742;106249
Kaiserslautern, Landkreis;104966;105504;105649;106057;105979
Berchtesgadener Land, Landkreis;103907;104480;105052;105722;105929
Vogelsbergkreis;107256;106737;106451;105878;105643
Salzgitter;101079;103668;104548;104948;104291
Bayreuth, Landkreis;104306;103876;103805;103656;103664
Merzig-Wadern, Landkreis;103997;103908;103656;103366;103243
Bad Kissingen, Landkreis;103106;103100;103265;103218;103235
Saalfeld-Rudolstadt, Landkreis;109278;108315;107368;106356;103199
Rhein-Hunsrück-Kreis;102529;103026;102938;102937;103163
Amberg-Sulzbach, Landkreis;103568;103009;102836;103109;103049
Unstrut-Hainich-Kreis;105273;103948;103504;102912;102232
Elbe-Elster, Landkreis;104673;104397;103455;102638;101827
Straubing-Bogen, Landkreis;98806;99221;99838;100649;101120
Neustadt an der Aisch-Bad Windsheim, Landkreis;98751;99332;99641;100364;101014
Werra-Meißner-Kreis;100715;100965;101101;101017;100629
Kaiserslautern;98520;99302;99684;99845;100030
Miesbach, Landkreis;98286;98828;99189;99726;100010
Eichsfeld, Landkreis;101325;101033;100645;100380;100006
Cottbus;99687;100416;101036;100219;99678
Eifelkreis Bitburg-Prüm;97180;98021;98213;98561;99058
Ostprignitz-Ruppin, Landkreis;99110;99414;99368;99078;98861
Friesland, Landkreis;97900;98409;98509;98460;98704
Greiz, Landkreis;101114;99717;99275;98159;97398
Neuburg-Schrobenhausen, Landkreis;94654;95759;96164;96680;97303
Odenwaldkreis;97000;96473;96597;96798;96703
Dingolfing-Landau, Landkreis;94104;95035;95831;96217;96683
Dillingen an der Donau, Landkreis;94575;94556;95159;96021;96562
Schwerin;96800;95668;95797;95818;95653
Südwestpfalz, Landkreis;96474;95957;95474;95113;94831
Hof, Landkreis;96429;95915;95773;95311;94801
Weißenburg-Gunzenhausen, Landkreis;93342;93974;94208;94393;94734
Neustadt an der Waldnaab, Landkreis;95078;94528;94486;94352;94450
Gera;96011;94750;94859;94152;93125
Uelzen, Landkreis;93131;92961;92744;92572;92389
Helmstedt, Landkreis;91500;92079;91720;91307;91297
Kitzingen, Landkreis;89306;89748;90429;90909;91155
